policy_id,issue_age,duration_years,account_value,guarantee_base,product_type,equity_allocation,guarantee_moneyness
1,58,2,50000.0,57857.35,VA_GMAB,0.84,0.864
2,74,3,50000.0,50985.75,VA_GMAB,0.815,0.981
3,74,5,74806.35,79998.63,VA_GMWB,0.667,0.935
4,56,9,54648.06,64597.75,VA_GMWB,0.737,0.846
5,73,14,50000.0,53378.11,VA_GMAB,0.799,0.937
6,69,1,66073.73,88573.92,FIA_UNCAPPED,0.801,0.746
7,64,7,50133.68,53777.86,FIA_CAPPED,0.811,0.932
8,70,9,83192.61,84900.96,VA_GMAB,0.766,0.98
9,67,5,54806.59,61566.92,FIA_CAPPED,0.378,0.89
10,74,6,53043.07,50293.5,FIA_UNCAPPED,0.575,1.055
11,56,7,58366.97,58016.76,FIA_UNCAPPED,0.924,1.006
12,47,4,70459.05,56367.24,VA_GMWB,0.535,1.25
13,58,11,76872.01,93738.72,VA_GMWB,0.986,0.82
14,54,7,87922.68,87728.67,VA_GMAB,0.795,1.002
15,59,14,64729.72,75214.81,VA_GMAB,0.626,0.861
16,72,8,50000.0,46509.33,FIA_CAPPED,0.478,1.075
17,73,9,59625.42,47700.34,VA_GMAB,0.915,1.25
18,65,1,81433.51,79616.67,FIA_CAPPED,0.942,1.023
19,64,14,69417.42,61100.41,VA_GMWB,0.636,1.136
20,53,4,71065.04,80047.89,FIA_CAPPED,0.221,0.888
21,45,6,50000.0,59267.64,FIA_CAPPED,0.248,0.844
22,56,4,50000.0,47104.17,FIA_UNCAPPED,0.253,1.061
23,58,7,50000.0,47118.74,FIA_UNCAPPED,0.21,1.061
24,51,9,201292.18,254313.64,VA_GMAB,0.618,0.792
25,68,6,80858.82,86180.28,VA_GMWB,0.355,0.938
26,50,13,100437.42,111695.14,FIA_CAPPED,0.55,0.899
27,59,3,80066.3,81044.54,VA_GMAB,0.738,0.988
28,49,4,50000.0,48152.07,VA_GMAB,0.296,1.038
29,55,3,73787.88,83432.3,VA_GMWB,0.327,0.884
30,74,12,53994.57,66435.51,FIA_UNCAPPED,0.651,0.813
